,Name,Brand,Price €,ImageUrl,ProductUrl
5965,'Teddy Run' Sneakers,Moschino,345 €,https://cdn-images.farfetch-contents.com/15/51/43/26/15514326_27938282_300.jpg,https://www.farfetch.com/de/shopping/men/moschino-teddy-run-sneakers-item-15514326.aspx
5966,Sneakers mit Kontrasteinsätzen,Moschino,295 €,https://cdn-images.farfetch-contents.com/15/51/43/24/15514324_27938278_300.jpg,https://www.farfetch.com/de/shopping/men/moschino-sneakers-mit-kontrasteinsatzen-item-15514324.aspx
5967,Sneakers mit Logo-Patch,Moschino,295 €,https://cdn-images.farfetch-contents.com/15/51/43/23/15514323_27938275_300.jpg,https://www.farfetch.com/de/shopping/men/moschino-sneakers-mit-logo-patch-item-15514323.aspx
5968,Sneakers mit Logo-Patch,Moschino,295 €,https://cdn-images.farfetch-contents.com/15/51/43/22/15514322_27978796_300.jpg,https://www.farfetch.com/de/shopping/men/moschino-sneakers-mit-logo-patch-item-15514322.aspx
5969,Derby-Schuhe mit Schnürung,Moschino,410 €,https://cdn-images.farfetch-contents.com/15/51/43/21/15514321_27978790_300.jpg,https://www.farfetch.com/de/shopping/men/moschino-derby-schuhe-mit-schnurung-item-15514321.aspx
5970,ASICS x Kiko Kostadinov 'Gessirit 2' Sneakers,ASICS,158 €,https://cdn-images.farfetch-contents.com/15/51/29/27/15512927_27862442_300.jpg,https://www.farfetch.com/de/shopping/men/asics-asics-x-kiko-kostadinov-gessirit-2-sneakers-item-15512927.aspx
5971,'Gessirit 2' Sneakers,ASICS,158 €,https://cdn-images.farfetch-contents.com/15/51/29/25/15512925_27835185_300.jpg,https://www.farfetch.com/de/shopping/men/asics-gessirit-2-sneakers-item-15512925.aspx
5972,"'Boston' Sandalen, 20mm",Birkenstock,108 €,https://cdn-images.farfetch-contents.com/15/51/18/11/15511811_27942665_300.jpg,https://www.farfetch.com/de/shopping/men/birkenstock-boston-sandalen-20mm-item-15511811.aspx
5973,Sneakers mit Pfeilen,Off-White,465 €,https://cdn-images.farfetch-contents.com/15/51/17/87/15511787_27763152_300.jpg,https://www.farfetch.com/de/shopping/men/off-white-sneakers-mit-pfeilen-item-15511787.aspx
5974,Klassische Loafer,Fendi,695 €,https://cdn-images.farfetch-contents.com/15/51/15/93/15511593_27850097_300.jpg,https://www.farfetch.com/de/shopping/men/fendi-klassische-loafer-item-15511593.aspx
5975,Sneakers mit FF-Prägung,Fendi,650 €,https://cdn-images.farfetch-contents.com/15/51/15/65/15511565_27850052_300.jpg,https://www.farfetch.com/de/shopping/men/fendi-sneakers-mit-ff-pragung-item-15511565.aspx
5976,Sneakers mit Logo-Prägung,Fendi,650 €,https://cdn-images.farfetch-contents.com/15/51/15/56/15511556_27850011_300.jpg,https://www.farfetch.com/de/shopping/men/fendi-sneakers-mit-logo-pragung-item-15511556.aspx
5977,'Bag Bugs' Sneakers,Fendi,695 €,https://cdn-images.farfetch-contents.com/15/51/15/47/15511547_27849951_300.jpg,https://www.farfetch.com/de/shopping/men/fendi-bag-bugs-sneakers-item-15511547.aspx
5978,Klassische Sneakers,Fendi,650 €,https://cdn-images.farfetch-contents.com/15/51/15/46/15511546_27849945_300.jpg,https://www.farfetch.com/de/shopping/men/fendi-klassische-sneakers-item-15511546.aspx
5979,Pantoletten mit Logo-Print,Fendi,570 €,https://cdn-images.farfetch-contents.com/15/51/15/43/15511543_27902006_300.jpg,https://www.farfetch.com/de/shopping/men/fendi-pantoletten-mit-logo-print-item-15511543.aspx
5980,Sneakers mit FF,Fendi,620 €,https://cdn-images.farfetch-contents.com/15/51/15/26/15511526_27896957_300.jpg,https://www.farfetch.com/de/shopping/men/fendi-sneakers-mit-ff-item-15511526.aspx
5981,Pantoletten mit Logo-Prägung,Fendi,340 €,https://cdn-images.farfetch-contents.com/15/51/15/25/15511525_27896955_300.jpg,https://www.farfetch.com/de/shopping/men/fendi-pantoletten-mit-logo-pragung-item-15511525.aspx
5982,Espadrilles mit Logo-Print,Fendi,520 €,https://cdn-images.farfetch-contents.com/15/51/15/23/15511523_27896951_300.jpg,https://www.farfetch.com/de/shopping/men/fendi-espadrilles-mit-logo-print-item-15511523.aspx
5983,Fendi x Joshua Vides 'Fendi Roma' Sneakers,Fendi,695 €,https://cdn-images.farfetch-contents.com/15/51/15/17/15511517_27896945_300.jpg,https://www.farfetch.com/de/shopping/men/fendi-fendi-x-joshua-vides-fendi-roma-sneakers-item-15511517.aspx
5984,Chelsea-Boots mit Logo,Fendi,795 €,https://cdn-images.farfetch-contents.com/15/51/15/12/15511512_27896939_300.jpg,https://www.farfetch.com/de/shopping/men/fendi-chelsea-boots-mit-logo-item-15511512.aspx
5985,Sneakers mit Kontrasteinsätzen,Fendi,1.035 €,https://cdn-images.farfetch-contents.com/15/51/15/11/15511511_27973212_300.jpg,https://www.farfetch.com/de/shopping/men/fendi-sneakers-mit-kontrasteinsatzen-item-15511511.aspx
5986,Sneakers mit FF-Muster,Fendi,750 €,https://cdn-images.farfetch-contents.com/15/51/14/92/15511492_27884478_300.jpg,https://www.farfetch.com/de/shopping/men/fendi-sneakers-mit-ff-muster-item-15511492.aspx
5987,Flip-Flops mit Logo-Print,Fendi,504 €,https://cdn-images.farfetch-contents.com/15/51/14/77/15511477_27849867_300.jpg,https://www.farfetch.com/de/shopping/men/fendi-flip-flops-mit-logo-print-item-15511477.aspx
5988,Sneakers mit Logo-Riemen,Fendi,550 €,https://cdn-images.farfetch-contents.com/15/51/14/05/15511405_27973052_300.jpg,https://www.farfetch.com/de/shopping/men/fendi-sneakers-mit-logo-riemen-item-15511405.aspx
5989,Pantoletten mit Logo-Prägung,Fendi,340 €,https://cdn-images.farfetch-contents.com/15/51/13/99/15511399_27973019_300.jpg,https://www.farfetch.com/de/shopping/men/fendi-pantoletten-mit-logo-pragung-item-15511399.aspx
5990,Pantoletten mit Logo-Prägung,Fendi,340 €,https://cdn-images.farfetch-contents.com/15/51/13/44/15511344_27968857_300.jpg,https://www.farfetch.com/de/shopping/men/fendi-pantoletten-mit-logo-pragung-item-15511344.aspx
5991,Sandalen mit FF,Fendi,620 €,https://cdn-images.farfetch-contents.com/15/51/13/42/15511342_27968847_300.jpg,https://www.farfetch.com/de/shopping/men/fendi-sandalen-mit-ff-item-15511342.aspx
5992,Sneakers mit Einsatz,Fendi,620 €,https://cdn-images.farfetch-contents.com/15/51/13/31/15511331_27968799_300.jpg,https://www.farfetch.com/de/shopping/men/fendi-sneakers-mit-einsatz-item-15511331.aspx
5993,Pantoletten mit Logo-Prägung,Fendi,340 €,https://cdn-images.farfetch-contents.com/15/51/13/29/15511329_27968783_300.jpg,https://www.farfetch.com/de/shopping/men/fendi-pantoletten-mit-logo-pragung-item-15511329.aspx
5994,Sandalen mit Logo,Fendi,795 €,https://cdn-images.farfetch-contents.com/15/51/13/18/15511318_27968739_300.jpg,https://www.farfetch.com/de/shopping/men/fendi-sandalen-mit-logo-item-15511318.aspx
5995,'Waffle Racer' Sneakers,Nike,85 €,https://cdn-images.farfetch-contents.com/15/51/09/13/15510913_27740427_300.jpg,https://www.farfetch.com/de/shopping/men/nike-waffle-racer-sneakers-item-15510913.aspx
5996,'MX-720-818' Sneakers,Nike,189 €,https://cdn-images.farfetch-contents.com/15/51/09/11/15510911_27745987_300.jpg,https://www.farfetch.com/de/shopping/men/nike-mx-720-818-sneakers-item-15510911.aspx
5997,Stiefel mit Reißverschluss,Balmain,790 €,https://cdn-images.farfetch-contents.com/15/51/07/91/15510791_27758067_300.jpg,https://www.farfetch.com/de/shopping/men/balmain-stiefel-mit-reiverschluss-item-15510791.aspx
5998,Stiefel mit Reißverschluss,Balmain,778 €,https://cdn-images.farfetch-contents.com/15/51/07/90/15510790_27758050_300.jpg,https://www.farfetch.com/de/shopping/men/balmain-stiefel-mit-reiverschluss-item-15510790.aspx
5999,Sneakers mit FF-Muster,Fendi,750 €,https://cdn-images.farfetch-contents.com/15/51/02/33/15510233_27970736_300.jpg,https://www.farfetch.com/de/shopping/men/fendi-sneakers-mit-ff-muster-item-15510233.aspx
6000,Flip-Flops mit FF,Fendi,300 €,https://cdn-images.farfetch-contents.com/15/51/02/25/15510225_27969957_300.jpg,https://www.farfetch.com/de/shopping/men/fendi-flip-flops-mit-ff-item-15510225.aspx
6001,'Air Max 270 React SE' Sneakers,Nike,159 €,https://cdn-images.farfetch-contents.com/15/51/00/71/15510071_27745985_300.jpg,https://www.farfetch.com/de/shopping/men/nike-air-max-270-react-se-sneakers-item-15510071.aspx
6002,'Killshot OG SP' Sneakers,Nike,90 €,https://cdn-images.farfetch-contents.com/15/51/00/38/15510038_27937282_300.jpg,https://www.farfetch.com/de/shopping/men/nike-killshot-og-sp-sneakers-item-15510038.aspx
6003,Sneakers mit Totenkopf,Philipp Plein,650 €,https://cdn-images.farfetch-contents.com/15/50/99/82/15509982_28304935_300.jpg,https://www.farfetch.com/de/shopping/men/philipp-plein-sneakers-mit-totenkopf-item-15509982.aspx
6004,Sneakers mit Totenkopf,Philipp Plein,598 €,https://cdn-images.farfetch-contents.com/15/50/99/81/15509981_28048314_300.jpg,https://www.farfetch.com/de/shopping/men/philipp-plein-sneakers-mit-totenkopf-item-15509981.aspx
6005,High-Top-Sneakers mit Totenkopf,Philipp Plein,598 €,https://cdn-images.farfetch-contents.com/15/50/99/80/15509980_28048313_300.jpg,https://www.farfetch.com/de/shopping/men/philipp-plein-high-top-sneakers-mit-totenkopf-item-15509980.aspx
6006,High-Top-Sneakers mit Totenkopf,Philipp Plein,598 €,https://cdn-images.farfetch-contents.com/15/50/99/79/15509979_28048309_300.jpg,https://www.farfetch.com/de/shopping/men/philipp-plein-high-top-sneakers-mit-totenkopf-item-15509979.aspx
